URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,Hoàng Tâm - Món ngon miền Tây – Vinhomes Central Park,"Park 1, Vinhomes Central Park, Số 208 Nguyễn Hữu Cảnh, P. 22, Q. Bình Thạnh",Gọi món Việt (chuyên món miền Tây),100.000 – 150.000 vn,10h00 – 22h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,,,,,,,,"Đặt tiệc, liên hoan, tiếp khách, tụ họp bạn bè, gia đình,...","Heo mọi luộc cuốn bánh tráng, Bò nướng lá lốt, Bò tơ nhúng dấm, Bánh xèo thịt vịt, Gỏi gà hoa chuối, Gỏi cuốn tôm thịt, Chả giò hải sản sầu riêng, Lẩu gấc cá hồi, Lẩu nấm Hoàng Tâm, Lẩu bao tử hầm tiêu",ện đại kết hợp truyền thống, 55 khách,"- Nhà hàng Hoàng Tâm chuyên gọi món Việt, đặc biệt là các món ăn ngon và đặc sắc của miền Tây.",,,,,,,,,106.71712,10.79495,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại hầm tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại hầm tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,,,,,,,,,,,,,,,,,THỨ HAI,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,,,,,,,,,,,,,,,,,THỨ BA,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hoang-tam-vinhomes-central-park-3232,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,22:00,,,,,,,,,,,,,,,,
